title,link,vehicles_involved,casualties,injured,reason,sequence_of_actions
3 dead as truck hits autorickshaw in Gazipur’s Kaliakair,https://www.unb.com.bd/category/Bangladesh/3-dead-as-truck-hits-autorickshaw-in-gazipurs-kaliakair/131193,"Truck, motorcycle, truck, autorickshaw, Bus",0,0,,
Six cops injured in road accident during vehicle check in Sylhet,https://www.unb.com.bd/category/Bangladesh/six-cops-injured-in-road-accident-during-vehicle-check-in-sylhet/130957,bus,0,0,,
Reckless driving triggers multi-vehicle collision in Ctg’s Bangabandhu Tunnel,https://www.unb.com.bd/category/Bangladesh/reckless-driving-triggers-multi-vehicle-collision-in-ctgs-bangabandhu-tunnel/130693,truck,0,0,"led to a multi-vehicle crash inside the Bangabandhu Tunnel in Chattogram, resulting in damage to at least five vehicles and injuring several people. due to excessive speed. led to it colliding with nearby cars, impacting a total of three private cars and two microbuses",
"Out of control truck smashes into two other vehicles on Dhk-Ctg Highway; helper dead, 10 injured",https://www.unb.com.bd/category/Bangladesh/out-of-control-truck-smashes-into-two-other-vehicles-on-dhk-ctg-highway-helper-dead-10-injured/130617,truck,0,0,,
Two die as motorcycle loses control in Kishoreganj,https://www.unb.com.bd/category/Bangladesh/two-die-as-motorcycle-loses-control-in-kishoreganj/129617,"Truck, motorcycle",0,0,,
Motorcyclist dies in Bogura road crash,https://www.unb.com.bd/category/Bangladesh/motorcyclist-dies-in-bogura-road-crash/129246,"motorcycle, truck",0,0,,
Teen killed as an unidentified vehicle runs over him in Jatrabari,https://www.unb.com.bd/category/Bangladesh/teen-killed-as-an-unidentified-vehicle-runs-over-him-in-jatrabari/128609,Bus,0,0,,
Police arrest driver of SUV that hit and killed 3 including child in Dhaka's Khilkhet,https://www.unb.com.bd/category/Bangladesh/police-arrest-driver-of-suv-that-hit-and-killed-3-including-child-in-dhakas-khilkhet/128206,,0,0,,
Two die as sand-laden truck crushes autorickshaw in Tangail,https://www.unb.com.bd/category/Bangladesh/two-die-as-sand-laden-truck-crushes-autorickshaw-in-tangail/128118,"bus, autorickshaw, truck",0,0,,
Two motorcyclists killed in Sylhet road crash,https://www.unb.com.bd/category/Bangladesh/two-motorcyclists-killed-in-sylhet-road-crash/127638,motorcycle,0,0,,
